Statistic Label,Year,Age Group,Sex,Road User Type,UNIT,VALUE
All Killed and Injured Casualties,2018,21 - 24 years,Male,All road users,Number,391
All Killed and Injured Casualties,2018,21 - 24 years,Male,Pedestrians,Number,35
All Killed and Injured Casualties,2018,21 - 24 years,Male,Pedal cyclists,Number,59
All Killed and Injured Casualties,2018,21 - 24 years,Male,Motor cyclists,Number,38
All Killed and Injured Casualties,2018,21 - 24 years,Female,All road users,Number,288
All Killed and Injured Casualties,2018,21 - 24 years,Female,Pedestrians,Number,42
All Killed and Injured Casualties,2018,21 - 24 years,Female,Pedal cyclists,Number,31
All Killed and Injured Casualties,2018,21 - 24 years,Female,Motor cyclists,Number,7
All Killed and Injured Casualties,2018,25 - 34 years,Male,All road users,Number,979
All Killed and Injured Casualties,2018,25 - 34 years,Male,Pedestrians,Number,107
All Killed and Injured Casualties,2018,25 - 34 years,Male,Pedal cyclists,Number,183
All Killed and Injured Casualties,2018,25 - 34 years,Male,Motor cyclists,Number,119
All Killed and Injured Casualties,2018,25 - 34 years,Female,All road users,Number,696
All Killed and Injured Casualties,2018,25 - 34 years,Female,Pedestrians,Number,88
All Killed and Injured Casualties,2018,25 - 34 years,Female,Pedal cyclists,Number,87
All Killed and Injured Casualties,2018,25 - 34 years,Female,Motor cyclists,Number,9
All Killed and Injured Casualties,2018,35 - 44 years,Male,All road users,Number,901
All Killed and Injured Casualties,2018,35 - 44 years,Male,Pedestrians,Number,75
All Killed and Injured Casualties,2018,35 - 44 years,Male,Pedal cyclists,Number,203
All Killed and Injured Casualties,2018,35 - 44 years,Male,Motor cyclists,Number,94
All Killed and Injured Casualties,2018,35 - 44 years,Female,All road users,Number,611
All Killed and Injured Casualties,2018,35 - 44 years,Female,Pedestrians,Number,62
All Killed and Injured Casualties,2018,35 - 44 years,Female,Pedal cyclists,Number,57
All Killed and Injured Casualties,2018,35 - 44 years,Female,Motor cyclists,Number,7
All Killed and Injured Casualties,2018,45 - 54 years,Male,All road users,Number,698
All Killed and Injured Casualties,2018,45 - 54 years,Male,Pedestrians,Number,74
All Killed and Injured Casualties,2018,45 - 54 years,Male,Pedal cyclists,Number,132
All Killed and Injured Casualties,2018,45 - 54 years,Male,Motor cyclists,Number,77
All Killed and Injured Casualties,2018,45 - 54 years,Female,All road users,Number,482
All Killed and Injured Casualties,2018,45 - 54 years,Female,Pedestrians,Number,59
All Killed and Injured Casualties,2018,45 - 54 years,Female,Pedal cyclists,Number,28
All Killed and Injured Casualties,2018,45 - 54 years,Female,Motor cyclists,Number,10
All Killed and Injured Casualties,2018,55 - 64 years,Male,All road users,Number,487
All Killed and Injured Casualties,2018,55 - 64 years,Male,Pedestrians,Number,57
All Killed and Injured Casualties,2018,55 - 64 years,Male,Pedal cyclists,Number,82
All Killed and Injured Casualties,2018,55 - 64 years,Male,Motor cyclists,Number,49
All Killed and Injured Casualties,2018,55 - 64 years,Female,All road users,Number,348
All Killed and Injured Casualties,2018,55 - 64 years,Female,Pedestrians,Number,50
All Killed and Injured Casualties,2018,55 - 64 years,Female,Pedal cyclists,Number,22
All Killed and Injured Casualties,2018,55 - 64 years,Female,Motor cyclists,Number,3
All Killed and Injured Casualties,2018,65 years and over,Male,All road users,Number,432
All Killed and Injured Casualties,2018,65 years and over,Male,Pedestrians,Number,97
All Killed and Injured Casualties,2018,65 years and over,Male,Pedal cyclists,Number,37
All Killed and Injured Casualties,2018,65 years and over,Male,Motor cyclists,Number,17
All Killed and Injured Casualties,2018,65 years and over,Female,All road users,Number,433
All Killed and Injured Casualties,2018,65 years and over,Female,Pedestrians,Number,98
All Killed and Injured Casualties,2018,65 years and over,Female,Pedal cyclists,Number,8
All Killed and Injured Casualties,2018,65 years and over,Female,Motor cyclists,Number,3
All Killed and Injured Casualties,2018,Age unknown,Male,All road users,Number,7
All Killed and Injured Casualties,2018,Age unknown,Male,Pedestrians,Number,3
All Killed and Injured Casualties,2018,Age unknown,Male,Pedal cyclists,Number,2
All Killed and Injured Casualties,2018,Age unknown,Male,Motor cyclists,Number,0
All Killed and Injured Casualties,2018,Age unknown,Female,All road users,Number,1
All Killed and Injured Casualties,2018,Age unknown,Female,Pedestrians,Number,1
All Killed and Injured Casualties,2018,Age unknown,Female,Pedal cyclists,Number,0
All Killed and Injured Casualties,2018,Age unknown,Female,Motor cyclists,Number,0
All Killed and Injured Casualties,2019,21 - 24 years,Male,All road users,Number,409
All Killed and Injured Casualties,2019,21 - 24 years,Male,Pedestrians,Number,33
All Killed and Injured Casualties,2019,21 - 24 years,Male,Pedal cyclists,Number,67
All Killed and Injured Casualties,2019,21 - 24 years,Male,Motor cyclists,Number,35
All Killed and Injured Casualties,2019,21 - 24 years,Female,All road users,Number,244
All Killed and Injured Casualties,2019,21 - 24 years,Female,Pedestrians,Number,46
All Killed and Injured Casualties,2019,21 - 24 years,Female,Pedal cyclists,Number,32
All Killed and Injured Casualties,2019,21 - 24 years,Female,Motor cyclists,Number,3
All Killed and Injured Casualties,2019,25 - 34 years,Male,All road users,Number,914
All Killed and Injured Casualties,2019,25 - 34 years,Male,Pedestrians,Number,88
All Killed and Injured Casualties,2019,25 - 34 years,Male,Pedal cyclists,Number,187
All Killed and Injured Casualties,2019,25 - 34 years,Male,Motor cyclists,Number,114
All Killed and Injured Casualties,2019,25 - 34 years,Female,All road users,Number,624
All Killed and Injured Casualties,2019,25 - 34 years,Female,Pedestrians,Number,61
All Killed and Injured Casualties,2019,25 - 34 years,Female,Pedal cyclists,Number,80
All Killed and Injured Casualties,2019,25 - 34 years,Female,Motor cyclists,Number,15
All Killed and Injured Casualties,2019,35 - 44 years,Male,All road users,Number,880
All Killed and Injured Casualties,2019,35 - 44 years,Male,Pedestrians,Number,90
All Killed and Injured Casualties,2019,35 - 44 years,Male,Pedal cyclists,Number,202
All Killed and Injured Casualties,2019,35 - 44 years,Male,Motor cyclists,Number,87
All Killed and Injured Casualties,2019,35 - 44 years,Female,All road users,Number,570
All Killed and Injured Casualties,2019,35 - 44 years,Female,Pedestrians,Number,77
All Killed and Injured Casualties,2019,35 - 44 years,Female,Pedal cyclists,Number,54
All Killed and Injured Casualties,2019,35 - 44 years,Female,Motor cyclists,Number,12
All Killed and Injured Casualties,2019,45 - 54 years,Male,All road users,Number,663
All Killed and Injured Casualties,2019,45 - 54 years,Male,Pedestrians,Number,65
All Killed and Injured Casualties,2019,45 - 54 years,Male,Pedal cyclists,Number,137
All Killed and Injured Casualties,2019,45 - 54 years,Male,Motor cyclists,Number,80
All Killed and Injured Casualties,2019,45 - 54 years,Female,All road users,Number,475
All Killed and Injured Casualties,2019,45 - 54 years,Female,Pedestrians,Number,46
All Killed and Injured Casualties,2019,45 - 54 years,Female,Pedal cyclists,Number,38
All Killed and Injured Casualties,2019,45 - 54 years,Female,Motor cyclists,Number,7
All Killed and Injured Casualties,2019,55 - 64 years,Male,All road users,Number,418
All Killed and Injured Casualties,2019,55 - 64 years,Male,Pedestrians,Number,57
All Killed and Injured Casualties,2019,55 - 64 years,Male,Pedal cyclists,Number,83
All Killed and Injured Casualties,2019,55 - 64 years,Male,Motor cyclists,Number,44
All Killed and Injured Casualties,2019,55 - 64 years,Female,All road users,Number,340
All Killed and Injured Casualties,2019,55 - 64 years,Female,Pedestrians,Number,63
All Killed and Injured Casualties,2019,55 - 64 years,Female,Pedal cyclists,Number,24
All Killed and Injured Casualties,2019,55 - 64 years,Female,Motor cyclists,Number,2
All Killed and Injured Casualties,2019,65 years and over,Male,All road users,Number,422
All Killed and Injured Casualties,2019,65 years and over,Male,Pedestrians,Number,79
All Killed and Injured Casualties,2019,65 years and over,Male,Pedal cyclists,Number,38
All Killed and Injured Casualties,2019,65 years and over,Male,Motor cyclists,Number,12
All Killed and Injured Casualties,2019,65 years and over,Female,All road users,Number,378
All Killed and Injured Casualties,2019,65 years and over,Female,Pedestrians,Number,94
All Killed and Injured Casualties,2019,65 years and over,Female,Pedal cyclists,Number,6
All Killed and Injured Casualties,2019,65 years and over,Female,Motor cyclists,Number,2
All Killed and Injured Casualties,2019,Age unknown,Male,All road users,Number,0
All Killed and Injured Casualties,2019,Age unknown,Male,Pedestrians,Number,0
All Killed and Injured Casualties,2019,Age unknown,Male,Pedal cyclists,Number,0
All Killed and Injured Casualties,2019,Age unknown,Male,Motor cyclists,Number,0
All Killed and Injured Casualties,2019,Age unknown,Female,All road users,Number,0
All Killed and Injured Casualties,2019,Age unknown,Female,Pedestrians,Number,0
All Killed and Injured Casualties,2019,Age unknown,Female,Pedal cyclists,Number,0
All Killed and Injured Casualties,2019,Age unknown,Female,Motor cyclists,Number,0
All Killed and Injured Casualties,2020,21 - 24 years,Male,All road users,Number,286
All Killed and Injured Casualties,2020,21 - 24 years,Male,Pedestrians,Number,28
All Killed and Injured Casualties,2020,21 - 24 years,Male,Pedal cyclists,Number,45
All Killed and Injured Casualties,2020,21 - 24 years,Male,Motor cyclists,Number,36
All Killed and Injured Casualties,2020,21 - 24 years,Female,All road users,Number,183
All Killed and Injured Casualties,2020,21 - 24 years,Female,Pedestrians,Number,22
All Killed and Injured Casualties,2020,21 - 24 years,Female,Pedal cyclists,Number,30
All Killed and Injured Casualties,2020,21 - 24 years,Female,Motor cyclists,Number,3
All Killed and Injured Casualties,2020,25 - 34 years,Male,All road users,Number,720
All Killed and Injured Casualties,2020,25 - 34 years,Male,Pedestrians,Number,75
All Killed and Injured Casualties,2020,25 - 34 years,Male,Pedal cyclists,Number,135
All Killed and Injured Casualties,2020,25 - 34 years,Male,Motor cyclists,Number,65
All Killed and Injured Casualties,2020,25 - 34 years,Female,All road users,Number,428
All Killed and Injured Casualties,2020,25 - 34 years,Female,Pedestrians,Number,53
All Killed and Injured Casualties,2020,25 - 34 years,Female,Pedal cyclists,Number,56
All Killed and Injured Casualties,2020,25 - 34 years,Female,Motor cyclists,Number,7
All Killed and Injured Casualties,2020,35 - 44 years,Male,All road users,Number,651
All Killed and Injured Casualties,2020,35 - 44 years,Male,Pedestrians,Number,64
All Killed and Injured Casualties,2020,35 - 44 years,Male,Pedal cyclists,Number,127
All Killed and Injured Casualties,2020,35 - 44 years,Male,Motor cyclists,Number,69
All Killed and Injured Casualties,2020,35 - 44 years,Female,All road users,Number,397
All Killed and Injured Casualties,2020,35 - 44 years,Female,Pedestrians,Number,43
All Killed and Injured Casualties,2020,35 - 44 years,Female,Pedal cyclists,Number,42
All Killed and Injured Casualties,2020,35 - 44 years,Female,Motor cyclists,Number,5
All Killed and Injured Casualties,2020,45 - 54 years,Male,All road users,Number,560
All Killed and Injured Casualties,2020,45 - 54 years,Male,Pedestrians,Number,49
All Killed and Injured Casualties,2020,45 - 54 years,Male,Pedal cyclists,Number,140
All Killed and Injured Casualties,2020,45 - 54 years,Male,Motor cyclists,Number,62
All Killed and Injured Casualties,2020,45 - 54 years,Female,All road users,Number,346
All Killed and Injured Casualties,2020,45 - 54 years,Female,Pedestrians,Number,60
All Killed and Injured Casualties,2020,45 - 54 years,Female,Pedal cyclists,Number,38
All Killed and Injured Casualties,2020,45 - 54 years,Female,Motor cyclists,Number,4
All Killed and Injured Casualties,2020,55 - 64 years,Male,All road users,Number,343
All Killed and Injured Casualties,2020,55 - 64 years,Male,Pedestrians,Number,37
All Killed and Injured Casualties,2020,55 - 64 years,Male,Pedal cyclists,Number,83
All Killed and Injured Casualties,2020,55 - 64 years,Male,Motor cyclists,Number,34
All Killed and Injured Casualties,2020,55 - 64 years,Female,All road users,Number,213
All Killed and Injured Casualties,2020,55 - 64 years,Female,Pedestrians,Number,48
All Killed and Injured Casualties,2020,55 - 64 years,Female,Pedal cyclists,Number,20
All Killed and Injured Casualties,2020,55 - 64 years,Female,Motor cyclists,Number,3
All Killed and Injured Casualties,2020,65 years and over,Male,All road users,Number,301
All Killed and Injured Casualties,2020,65 years and over,Male,Pedestrians,Number,49
All Killed and Injured Casualties,2020,65 years and over,Male,Pedal cyclists,Number,40
All Killed and Injured Casualties,2020,65 years and over,Male,Motor cyclists,Number,6
All Killed and Injured Casualties,2020,65 years and over,Female,All road users,Number,244
All Killed and Injured Casualties,2020,65 years and over,Female,Pedestrians,Number,67
All Killed and Injured Casualties,2020,65 years and over,Female,Pedal cyclists,Number,11
All Killed and Injured Casualties,2020,65 years and over,Female,Motor cyclists,Number,0
All Killed and Injured Casualties,2020,Age unknown,Male,All road users,Number,0
All Killed and Injured Casualties,2020,Age unknown,Male,Pedestrians,Number,0
All Killed and Injured Casualties,2020,Age unknown,Male,Pedal cyclists,Number,0
All Killed and Injured Casualties,2020,Age unknown,Male,Motor cyclists,Number,0
All Killed and Injured Casualties,2020,Age unknown,Female,All road users,Number,0
All Killed and Injured Casualties,2020,Age unknown,Female,Pedestrians,Number,0
All Killed and Injured Casualties,2020,Age unknown,Female,Pedal cyclists,Number,0
All Killed and Injured Casualties,2020,Age unknown,Female,Motor cyclists,Number,0
